CLAVE SITIO,NOMBRE DEL SITIO,COLI_FEC,COT,COT_SOL,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,TEMP_AMB
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,24196,0.583,0.424,9.329733,0.309207,0.182695,7.27377,17.095405,16.603503,2.65745,0.64793,120,0.198,3078.4,55.56,25,0.00139,0.0002,0.00088,0.000149,0.0002,0.00154,30
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,24196,22.86,11.16,5.843612,0.532775,0.288172,3.43342,10.097979,9.277032,1.91151,0.43455,60,0.222,5824,151,40,0.00139,0.0002,0.0077,0.00009,0.0034,0.00154,31
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,24196,1.057,0.993,7.991629,0.504729,0.285113,4.511,13.292471,12.502629,2.02368,0.62093,70,0.208,4968,88.57,28,0.0111,0.0002,0.007,0.00009,0.0041,0.00154,28
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,72700,15.65,11.61,8.279881,0.172359,0.335469,5.52383,14.311539,13.803711,2.51798,0.61105,60,0.167,4984,152,36,0.00139,0.00023,0.0063,0.00009,0.0002,0.00154,22
OCPNO4527,RIO FUERTE 1,1071,5.2932,2.7658,0.2025,0.0037,0.0448,0.9952,1.2462,1.1977,0.1872,0.1448,12.5,0.009,387.2,9.75,5.8,0.0137,0.0002,0.00088,0.0002,0.0002,0.00154,28.5
OCPNO4527,RIO FUERTE 1,63,5.2347,2.3764,0.0502,0.0052,0.1449,0.4684,0.6687,0.5186,0.2521,0.156,12.5,0.009,372.48,5.3333,7,0.00139,0.0002,0.00088,0.0001,0.0002,0.00154,31.4
OCPNO4527,RIO FUERTE 1,6131,3.8859,3.7131,0.0735,0.0158,0.1389,0.6603,0.8885,0.7338,0.4633,0.2702,20,0.0574,298.24,13.33,7.4,0.0893,0.0002,0.00088,0.00009,0.0002,0.00154,36.4
OCPNO4527,RIO FUERTE 1,110,2.0978,2.0978,0.0635,0.002,0.0098,0.4653,0.5406,0.5288,0.3415,0.2972,25,0.0793,915.2,10,3.4,0.0196,0.0002,0.00088,0.0002,0.0002,0.0063,34.2
OCPNO4527,RIO FUERTE 1,563,3.078,2.918,0.098,0.022,0.231,0.585,0.936,0.683,0.475,0.373,25,0.091,469.76,32,2.4,0.04,0.0002,0.00088,0.0002,0.0002,0.00154,35.7
OCPNO4527,RIO FUERTE 1,7270,2.875,1.255,0.083,0.005,0.064,0.473,0.625,0.556,0.278,0.175,15,0.11,499.2,8.5,2.5,0.018,0.0002,0.00088,0.000104,0.0002,0.00154,30.7
OCPNO4527,RIO FUERTE 1,2481,1.81,1.49,0.027,0.003,0.06,0.14,0.23,0.167,0.162,0.181,12.5,0.044,401.92,8.3,4.1,0.0081,0.0002,0.00088,0.000514,0.0002,0.00154,30
OCPNO4527,RIO FUERTE 1,1956,1.271,1.271,0.072,0.003,0.052,0.344,0.471,0.416,0.265,0.172,7.5,0.074,671.36,6.3,2.5,0.012,0.0002,0.00088,0.00017,0.0002,0.00154,28
OCPNO4527,RIO FUERTE 1,862,2.089,1.983,0.084,0.005,0.129,0.112,0.33,0.196,0.176,0.098,12.5,0.067,389.12,10,2,0.0133,0.0002,0.00088,0.00024,0.0002,0.00154,34
OCPNO4527,RIO FUERTE 1,12997,3.472,3.326,0.06,0.005,0.061,0.473,0.599,0.533,0.322,0.213,7.5,0.033,629.12,10,0.55,0.0152,0.0002,0.00088,0.00027,0.0002,0.00154,35
OCPNO4527,RIO FUERTE 1,12033,5.322,5.049,0.066,0.009,0.355,0.387,0.817,0.453,0.337,0.324,15,0.13,980.48,10,0.64,0.0241,0.0002,0.00088,0.00009,0.0002,0.00154,32
OCPNO4527,RIO FUERTE 1,1106,0.5096,0.5096,0.1284,0.0103,0.42,0.271232,0.829932,0.399632,0.182417,0.199,3,0.114,700.16,5.23,2.8,0.00139,0.0002,0.00088,0.00009,0.0002,0.00154,28
OCPNO4527,RIO FUERTE 1,1935,5.664,5.1456,0.089927,0.005,0.004,0.274314,0.373241,0.364241,0.178448,0.015805,10,0.12,657.28,10,2.4,0.00139,0.0002,0.00088,0.000087,0.0002,0.00154,29
OCPNO4527,RIO FUERTE 1,1722,1.0892,0.9452,0.133337,0.003859,0.296777,0.059634,0.493607,0.192971,0.201355,0.168081,10,0.068,757.12,10,0.7,0.00139,0.0002,0.00088,0.00009,0.0002,0.00154,35
OCPNO4527,RIO FUERTE 1,5172,1.0488,1.0482,0.082212,0.0084,0.2589,0.377565,0.727077,0.459777,0.255606,0.2055,10,0.081,766.08,10,3.1,0.00139,0.0002,0.00088,0.00009,0.0002,0.00154,34
